Categoria,Código da composição,Grupo,Subcategoria,Tipo,Código,Banco,Descrição,Classificação,Und,Quant.,Valor Unit,Total
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.3,12,CONEXÕES,Insumo,0000 00000122,SINAPI,"LUVA PVC SOLDAVEL, 32 MM, PARA AGUA FRIA PREDIAL",Material,UN,"1,0000000","1,55","1,55"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.4,12,CONEXÕES,Insumo,0000 00000122,SINAPI,"TE SOLDAVEL, PVC, 90 GRAUS, 25 MM, PARA AGUA FRIA PREDIAL (NBR 5648)",Material,UN,"1,0000000","0,94","0,94"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.12,12,CONEXÕES,Insumo,0000 00000122,SINAPI,"CURVA DE PVC 90 GRAUS, SOLDAVEL, 32 MM, COR MARROM, PARA AGUA FRIA PREDIAL",Material,UN,"1,0000000","5,02","5,02"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.27,12,CONEXÕES,Insumo,0000 00000122 89987,SINAPI,"LUVA DE CORRER PARA TUBO SOLDAVEL, PVC, 50 MM, PARA AGUA FRIA PREDIAL",Material,UN,"1,0000000","22,22","22,22"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.5.3,12,INSTALAÇÕES HIDRÁULICAS - POÇO,Insumo,0000 00003148,SINAPI,"TE DE FERRO GALVANIZADO, DE 2""",Material,UN,"1,0000000","59,25","59,25"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.10,12,CONEXÕES,Insumo,000 00020083 89383,SINAPI,"JOELHO PVC, SOLDAVEL, COM BUCHA DE LATAO, 90 GRAUS, 25 MM X 1/2"", PARA AGUA FRIA PREDIAL",Material,UN,"1,0000000","4,17","4,17"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.4.3,12,SERVIÇOS DIVERSOS,Insumo,000 93288,SINAPI,"CAIXA D'AGUA / RESERVATORIO EM POLIESTER REFORCADO COM FIBRA DE VIDRO, 20000 LITROS, COM TAMPA",Material,UN,"1,0000000","10.288,65","10.288,65"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.11,12,CONEXÕES,Insumo,65,SINAPI,"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 25 MM X 3/4"", PARA AGUA FRIA",Material,UN,"1,0000000","0,70","0,70"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.24,12,CONEXÕES,Insumo,74,SINAPI,"ADAPTADOR PVC, SOLDAVEL, COM FLANGES LIVRES, 85 MM X 3"", PARA CAIXA D'AGUA",Material,UN,"1,0000000","237,62","237,62"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.25,12,CONEXÕES,Insumo,102,SINAPI,"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 85 MM X 3"", PARA AGUA FRIA",Material,UN,"1,0000000","20,86","20,86"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.14,12,CONEXÕES,Insumo,108,SINAPI,"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 32 MM X 1"", PARA AGUA FRIA",Material,UN,"1,0000000","1,39","1,39"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.17,12,CONEXÕES,Insumo,109,SINAPI,"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 40 MM X 1 1/4"", PARA AGUA FRIA",Material,UN,"1,0000000","2,88","2,88"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.18,12,CONEXÕES,Insumo,112,SINAPI,"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 50 MM X1 1/2"", PARA AGUA FRIA",Material,UN,"1,0000000","3,47","3,47"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.5.8,12,INSTALAÇÕES HIDRÁULICAS - POÇO,Insumo,113,SINAPI,"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 60 MM X 2"", PARA AGUA FRIA",Material,UN,"1,0000000","8,70","8,70"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.1,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0082000","49,67","0,40"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.2,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0071000","49,67","0,35"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.3,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0094000","49,67","0,46"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.4,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0106000","49,67","0,52"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.5,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0059000","49,67","0,29"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.6,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0071000","49,67","0,35"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.7,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0118000","49,67","0,58"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.8,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0094000","49,67","0,46"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.9,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0059000","49,67","0,29"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.10,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0059000","49,67","0,29"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.11,12,CONEXÕES,Insumo,00000122,SINAPI,"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 25 MM X 3/4"", PARA AGUA FRIA",Material,UN,"0,0059000","49,67","0,29"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.12,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0094000","49,67","0,46"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.13,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0082000","49,67","0,40"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.14,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0082000","49,67","0,40"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.15,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0118000","49,67","0,58"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.16,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0141000","49,67","0,70"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.17,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0106000","49,67","0,52"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.18,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0129000","49,67","0,64"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.19,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0165000","49,67","0,81"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.20,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0176000","49,67","0,87"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.21,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0247000","49,67","1,22"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.22,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0353000","49,67","1,75"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.23,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0165000","49,67","0,81"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.24,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0176000","49,67","0,87"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.25,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0176000","49,67","0,87"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.26,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0353000","49,67","1,75"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.2.27,12,CONEXÕES,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0165000","49,67","0,81"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.5.8,12,INSTALAÇÕES HIDRÁULICAS - POÇO,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0106000","49,67","0,52"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.5.9,12,INSTALAÇÕES HIDRÁULICAS - POÇO,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0212000","49,67","1,05"
INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,12.1.5.12,12,INSTALAÇÕES HIDRÁULICAS - POÇO,Insumo,00000122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,UN,"0,0212000","49,67","1,05"
