,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,
,,Construção do Bloco O de salas de aula do Campus Juazeiro do Norte,,"SINAPI - 04/2025 - Ceará
SBC - 01/2018 - Ceará
ORSE - 02/2025 - Sergipe
SEDOP - 05/2024 - Pará
SEINFRA - 028 - Ceará
AGESUL - 06/2024 - Mato Grosso do Sul
EMOP - 10/2024 - Rio de Janeiro
",,,"21,45%","Não Desonerado: embutido nos preços unitário dos insumos de mão de obra, de acordo com as bases.",
Planilha Orçamentária Analítica,,,,,,,,,
 1 ,,,ADMINISTRAÇÃO DE OBRA,,,,,,
 1.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, B0023 ,Próprio,"ADMINISTRAÇÃO DA OBRA (ENGENHEIRO CIVIL, MESTRE E ALMOXARIFE), COM ENCARGOS COMPLEMENTARES",SEDI - SERVIÇOS DIVERSOS,,%,"1,0000000","338.746,55","338.746,55"
Composição Auxiliar, 93565 ,SINAPI,ENGENHEIRO CIVIL DE OBRA JUNIOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,MES,"9,5760004","22.853,38","218.843,97"
Composição Auxiliar, 94295 ,SINAPI,MESTRE DE OBRAS COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,MES,"11,1720004","7.249,47","80.991,08"
Composição Auxiliar, 93563 ,SINAPI,ALMOXARIFE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,MES,"9,5760004","4.063,44","38.911,50"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2 ,,,SERVIÇOS PRELIMINARES/TÉCNICOS,,,,,,
 2.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, B0051 ,Próprio,ART OBRA (EXECUÇÃO),SERP - SERVIÇOS PRELIMINARES,,UN,"1,0000000","271,47","271,47"
Insumo, TX2 ,Próprio,ART OBRA (EXECUÇÃO),Material,,UN ,"1,0000000","271,47","271,47"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, B0052 ,Próprio,ART DA FISCALIZAÇÃO,SERP - SERVIÇOS PRELIMINARES,,UN,"1,0000000","103,03","103,03"
Insumo, TX3 ,Próprio,ART DA FISCALIZAÇÃO,Material,,UN,"1,0000000","103,03","103,03"
,,,,,,,,,
,,,,,,,,,
