,,,,,,,,,,,,,,,,
,,,,,MINISTÉRIO DA EDUCAÇÃO,,,,,,,,,, função ignoraN/D,#NAME?
,,,,,UNIVERSIDADE FEDERAL DO CARIRI,,,,,,,,,,,"Ao final, verificar se esse valor é o mesmo que aparece no MC"
,,,,,DIRETORIA DE INFRAESTRUTURA,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Obra:,"Hospital Veterinário Universitário do Cariri – HVUCariri com a urbanização do entorno, estacionamento, guarita de acesso, castelo d´agua, rede de média tensão, lanchonete e área de convivência, casa de gerador, baía de resíduos e estação de tratamento de esgoto no campus da Crato da UFCA.",,,,,,,,"Leis Sociais: 115,02%(HORA) 71,66%(MÊS)",,,,,#NAME?
,,Local:,"Rua Ícaro de Sousa Moreira, 126 - Muriti - Crato/CE, CEP 63130-025",,,,,,,,BDI:,,"21,45%",,,#NAME?
,,Tipo:,Construção,,,,,,,,BDI DIFERENCIADO:,,"13,51%",,,#NAME?
,,Data:,11/25/2024,,,,,,,,Referência de custos,,,,,#NAME?
,,,,,,,,,,,Sinapi – Ceará – 10/2024 - Não Desonerada,,,,,
,,,,,,,,,,,Composições UFCA,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,PLANILHA ORÇAMENTÁRIA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bloco,,ITEM,FONTE,CÓDIGO,DISCRIMINAÇÃO DO SERVIÇO,UN,VALOR UNITÁRIO,QUANT.,VALOR TOTAL,VALOR COM BDI,VALOR COM BDI DIFERENCIADO,VALOR TOTAL POR GRUPO SEM BDI,VALOR TOTAL POR GRUPO COM BDI,,,não apagar essa coluna
,,,,,,,,,,,,,,,,
HEAD1,,1.0,,,SERVIÇOS PRELIMINARES/TÉCNICOS,,,,,,,"R$ 1.123.778,91","R$ 1.364.829,38",,,1.
HEAD3,,1.1,CREA,,ART OBRA (EXECUÇÃO),UN,"R$ 262,64","2,00","R$ 525,28","R$ 637,95",,,,,,
HEAD3,,1.2,CREA,,ART DA FISCALIZAÇÃO ,UN,"R$ 99,64","2,00","R$ 199,28","R$ 242,02",,,,,,
HEAD3,,1.3,CAU,,RRT DA FISCALIZAÇÃO,UN,"R$ 119,61","1,00","R$ 119,61","R$ 145,26",,,,," R$  12.444.003,41 ",
HEAD3,,1.4,UFCA,B0033,ALVARÁ DE CONSTRUÇÃO,UN ,"R$ 1.764,59","1,00","R$ 1.764,59","R$ 2.143,09",,,,,,
HEAD3,,1.5,UFCA,B0022,"ADMINISTRAÇÃO DA OBRA (ENGENHEIRO CIVIL, MESTRE, ALMOXARIFE E VIGIA), ENCARGOS = 115,02% e 71,66%",%,"R$ 882.360,48",100%,"R$ 882.360,48","R$ 1.071.626,80",,,,,"8,67%",
HEAD3,,1.6,UFCA,B0016,SONDAGEM À PERCUSSÃO P/RECONHECIMENTO DO SUBSOLO,M,"R$ 69,56","240,00","R$ 16.694,40","R$ 20.275,34",,,,,,
HEAD3,,1.7,UFCA,B0049,RELATÓRIO FINAL DE SONDAGEM DO SOLO,H,"R$ 1.582,56","1,00","R$ 1.582,56","R$ 1.922,01",,,,,,
HEAD3,,1.8,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,"R$ 11.990,36","1,00","R$ 11.990,36","R$ 14.562,29",,,,,,
HEAD3,,1.9,UFCA,B0046,"EXECUÇÃO DE ALMOXARIFADO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 66M2",UN ,"R$ 18.143,75","1,00","R$ 18.143,75","R$ 22.035,58",,,,,,
HEAD3,,1.10,UFCA,B0047,EXECUÇÃO DE REFEITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA,M2,"R$ 376,11","24,00","R$ 9.026,64","R$ 10.962,85",,,,,,
HEAD3,,1.11,UFCA,B0048,EXECUÇÃO DE SANITÁRIO E VESTIÁRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA,M2,"R$ 279,78","28,00","R$ 7.833,84","R$ 9.514,19",,,,,,
HEAD3,,1.12,UFCA,B0030,PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO,M2,"R$ 530,01","20,02","R$ 10.610,80","R$ 12.886,81",,,,,,
HEAD3,,1.13,UFCA,B0031,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO,M2,"R$ 0,26","14103,56","R$ 3.666,92","R$ 4.453,47",,,,,,
HEAD3,,1.14,SINAPI,99059,"LOCAÇÃO CONVENCIONAL DE OBRA, UTILIZANDO GABARITO DE TÁBUAS CORRIDAS PONTALETADAS A CADA 2,00M -  2 UTILIZAÇÕES. AF_03/2024",M,"65,98","499,80","R$ 32.976,80","R$ 40.050,32",,,,,,
HEAD3,,1.15,SINAPI,99059,"LOCAÇÃO CONVENCIONAL DE OBRA, UTILIZANDO GABARITO DE TÁBUAS CORRIDAS PONTALETADAS A CADA 2,00M -  2 UTILIZAÇÕES. AF_03/2024",M,"65,98","360,00","R$ 23.752,80","R$ 28.847,77",,,,,,
