,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,,,,,,
,,Construção do Bloco O de salas de aula do Campus Juazeiro do Norte,,"SINAPI - 04/2025 - Ceará
SBC - 01/2018 - Ceará
ORSE - 02/2025 - Sergipe
SEDOP - 05/2024 - Pará
SEINFRA - 028 - Ceará
AGESUL - 06/2024 - Mato Grosso do Sul
EMOP - 10/2024 - Rio de Janeiro
",,,"21,45%","Não Desonerado: embutido nos preços unitário dos insumos de mão de obra, de acordo com as bases.",,,,,,
ORÇAMENTO SINTÉTICO,,,,,,,,,,,,,,
ITEM,Código da Composição,FONTE,DISCRIMINAÇÃO DO SERVIÇO,UN,VALOR UNITÁRIO,QUANT.,VALOR TOTAL,VALOR COM BDI,VALOR COM BDI DIFERENCIADO,VALOR TOTAL POR GRUPO SEM BDI,VALOR TOTAL POR GRUPO COM BDI,Executado Med. 1,Memoria de cálculo Med. 1,Obs
1.0,,,ADMINISTRAÇÃO DE OBRA,,,,,,,"R$ 338.746,55","R$ 411.407,68",,,
1.1,B0023,UFCA,"ADMINISTRAÇÃO DA OBRA (ENGENHEIRO CIVIL, MESTRE E ALMOXARIFE), COM ENCARGOS COMPLEMENTARES",%,"R$ 338.746,55","1,00","R$ 338.746,55","R$ 411.407,68",,,,,,
10.0,,,INSTALAÇÕES ELÉTRICAS,,,,,,,"R$ 446.258,58","R$ 541.979,88",,,
10.1,,,"INSTALAÇÃO ELÉTRICA DE MÉDIA TENSÃO, QGBT E ALIMENTADOR GERAL",,,,,,,,,,,
10.1.1,,,SUBESTAÇÃO,,,,,,,,,,,
10.1.1.1,J0159,UFCA,"REMOÇÃO DE POSTE 12 M, CARGA NOMINAL MENOR OU IGUAL A 1000 DAN, ENGASTAMENTO SIMPLES COM 1,8 M",UN,"R$ 167,46","1,00","R$ 167,46","R$ 203,38",,,,,,
10.1.1.10,J0169,UFCA,CAIXA DE PROTEÇÃO SECUNDÁRIA EM CHAPA DE AÇO ZINCADA (420X270X200)MM PARA DISJUNTOR TRIFÁSICO DE 100A À 630A. INCLUSO CONEXÕES E SUPORTE PARA FIXAÇÃO NO POSTE - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 210,34","1,00","R$ 210,34","R$ 255,45",,,,,,
10.1.1.11,101898,SINAPI,"DISJUNTOR TERMOMAGNÉTICO TRIPOLAR, CORRENTE NOMINAL DE 400A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 1.028,23","1,00","R$ 1.028,23","R$ 1.248,78",,,,,,
10.1.1.12,93012,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 110 MM (4""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 49,87","9,00","R$ 448,83","R$ 545,10",,,,,,
10.1.1.13,93026,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 110 MM (4""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",UN,"R$ 56,28","3,00","R$ 168,84","R$ 205,05",,,,,,
10.1.1.14,93017,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 110 MM (4""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",UN,"R$ 34,72","9,00","R$ 312,48","R$ 379,50",,,,,,
10.1.1.15,J0154,UFCA,FITA DE INOX P/ FIXAÇÃO DE ELETRODUTO - FORNECIMENTO E INSTALAÇÃO,M,"R$ 8,20","4,00","R$ 32,80","R$ 39,83",,,,,,
10.1.1.16,93000,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 240 MM², ANTI-CHAMA 0,6/1,0 KV, PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 213,03","48,00","R$ 10.225,44","R$ 12.418,79",,,,,,
10.1.1.17,92994,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 120 MM², ANTI-CHAMA 0,6/1,0 KV, PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 108,52","12,00","R$ 1.302,24","R$ 1.581,57",,,,,,
10.1.1.18,J0138,UFCA,TERMINAL A COMPRESSÃO PARA CABO DE 50 mm² A 120mm²,UN,"R$ 13,81","1,00","R$ 13,81","R$ 16,77",,,,,,
10.1.1.19,J0148,UFCA,TERMINAL A COMPRESSÃO PARA CABO DE 150 mm² A 240mm²,UN,"R$ 39,41","4,00","R$ 157,64","R$ 191,45",,,,,,
10.1.1.2,J0184,UFCA,"POSTE DE CONCRETO ARMADO DE SECAO DUPLO T, EXTENSAO DE 12,00 M, RESISTENCIA DE 600 DAN, TIPO B",UN,"R$ 1.611,21","1,00","R$ 1.611,21","R$ 1.956,81",,,,,,
10.1.1.3,J0165,UFCA,"DESMONTAGEM E REMONTAGEM DE ESTRUTURA N3.M3CF, REUTILIZANDO TODO MATERIAL EXISTENTE (CRUZETAS, FERRAGENS, CHAVES FUSÍVEL, CABOS, ISOLADORES, ETC)",UN,"R$ 171,77","1,00","R$ 171,77","R$ 208,61",,,,,,
10.1.1.4,102107,SINAPI,"TRANSFORMADOR DE DISTRIBUIÇÃO, 225 KVA, TRIFÁSICO, 60 HZ, CLASSE 15 KV, IMERSO EM ÓLEO MINERAL, INSTALAÇÃO EM POSTE (NÃO INCLUSO SUPORTE) - FORNECIMENTO E INSTALAÇÃO. AF_12/2020",UN,"R$ 27.513,44","1,00","R$ 27.513,44","R$ 33.415,07",,,,,,
10.1.1.5,102110,SINAPI,SUPORTE PARA TRANSFORMADOR EM POSTE DE CONCRETO DUPLO T - FORNECIMENTO E INSTALAÇÃO. AF_12/2020,UN,"R$ 132,06","1,00","R$ 132,06","R$ 160,38",,,,,,
10.1.1.6,J0153,UFCA,PARA RAIO DE DISTRIBUIÇÃO 15 KV TIPO POLIMÉRICO - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 233,57","3,00","R$ 700,71","R$ 851,01",,,,,,
10.1.1.7,J0231,UFCA,"CABO DE ALUMÍNIO SIMPLES, TIPO CAA, BITOLA 1/0 AWG - FORNECIMENTO E INSTALAÇÃO",M,"R$ 9,04","9,00","R$ 81,36","R$ 98,81",,,,,,
10.1.1.8,J0155,UFCA,CONECTOR CUNHA - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 20,17","3,00","R$ 60,51","R$ 73,48",,,,,,
10.1.1.9,J0156,UFCA,ESTRUTURA TIPO CFR (CONJUNTO TRIFÁSICO DE CHAVE FUSÍVEIS EM CRUZETA REBAIXADA),UN,"R$ 1.209,46","1,00","R$ 1.209,46","R$ 1.468,88",,,,,,
10.1.2,,,MALHA DE TERRA,,,,,,,,,,,
10.1.2.1,96977,SINAPI,"CORDOALHA DE COBRE NU 50 MM², ENTERRADA - FORNECIMENTO E INSTALAÇÃO. AF_08/2023",M,"R$ 48,22","48,10","R$ 2.319,38","R$ 2.816,88",,,,,,
10.1.2.2,96985,SINAPI,"HASTE DE ATERRAMENTO, DIÂMETRO 5/8"", COM 3 METROS - FORNECIMENTO E INSTALAÇÃO. AF_08/2023",UN,"R$ 61,96","6,00","R$ 371,76","R$ 451,50",,,,,,
