,,"PARA ATUALIZAR A PLANILHA, COLE AS NOVAS PLANILHAS SINAPI-MAT (Insumos), SINAPI SINTÉTICO E SEINFRA NAS SUAS RESPECTIVAS ABAS.
PESQUISA DE PREÇO DEVE SER INSERIDA NA ABA PESQUISA DE PREÇOS;
PREÇOS ORSE, SICRO E SBC DEVEM SER ATUALIZADOS MANUALMENTE;
OS PREÇOS DE ADMINISTRAÇÃO DE OBRA SÃO ATUALIZADOS PELA ABA DE MEMORIAL DE CÁLCULO.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,MINISTÉRIO DA EDUCAÇÃO,,,,,,,,,,,,,,,,,,
,,,,UNIVERSIDADE FEDERAL DO CARIRI,,,,,,,,,,,,,,,,,,
,,,,DIRETORIA DE INFRAESTRUTURA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Obra:,"Hospital Veterinário Universitário do Cariri – HVUCariri com a urbanização do entorno, estacionamento, guarita de acesso, castelo d´agua, rede de média tensão, lanchonete e área de convivência, casa de gerador, baía de resíduos e estação de tratamento de esgoto no campus da Crato da UFCA.",,,,,,,,,,,,,"Leis Sociais: 115,02%(HORA) 71,66%(MÊS)",,,,,,
,,Local:,"Rua Ícaro de Sousa Moreira, 126 - Muriti - Crato/CE, CEP 63130-025",,,,,,,,,,,,,Referência de custos,,,,,,
,,Tipo:,Construção,,,,,,,,,,,,,Sinapi – Ceará – 10/2024 - Não Desonerada,,,,,,
,,Data:,25/11/2024,,,,,,,,,,,,,ORSE 09/2024,,,,,,
,,,,,,,,,,,,,,,,SEINFRA 28.1,,,,,,
,,,,,,,,,,,,,,,,EMOP-RJ -10/2024 / SEDOP-PA -06/2024 / AGESUL-06/2024,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,COMPOSIÇÕES UFCA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MOBRA,INSUMO,EQUIP,SERV,,
,,LETRA,GRUPO,FONTE,CODIGO DA COMPOSICAO,DESCRICAO DA COMPOSICAO,UN,TIPO ITEM,REFERÊNCIA,CODIGO ITEM,DESCRIÇÃO ITEM,UNIDADE,COEFICIENTE,PRECO UNITARIO,CUSTO TOTAL,% ENCARGOS SOCIAIS,CUSTO MAO DE OBRA,CUSTO MATERIAL,CUSTO EQUIPAMENTO,CUSTO SERVIÇO,PREÇO UNITÁRIO,COMPOSIÇÃO USADA COMO REFERÊNCIA E OBSERVAÇÕES
,,,,,,,,,,,,,,,,,,,,,,
HEAD1,,A,PROJETOS,UFCA,,,,,,,,,,,,,,,,,,
HEAD1,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,,,,,,,,,,,,,,,,,,
HEAD2,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0016,SONDAGEM À PERCUSSÃO P/RECONHECIMENTO DO SUBSOLO,M,,,,,,,,,0,"0,00","69,56",0,0,"69,56",Composição com base no Item SEINFRA C2873
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0016,SONDAGEM À PERCUSSÃO P/RECONHECIMENTO DO SUBSOLO,M,INSUMO,SEINFRA,I1860,SERVIÇOS DE SONDAGEM À PERCUSSÃO,M,"1,0000","69,56","69,56",,,,,,,
HEAD2,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0022,"ADMINISTRAÇÃO DA OBRA (ENGENHEIRO CIVIL, MESTRE, ALMOXARIFE E VIGIA), ENCARGOS = 115,02% e 71,66%",%,,,,,,,,,0,"882360,48",0,0,0,"882360,48",
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0022,"ADMINISTRAÇÃO DA OBRA (ENGENHEIRO CIVIL, MESTRE, ALMOXARIFE E VIGIA), ENCARGOS = 115,02% e 71,66%",%,MOBRA,SINAPI,93565,ENGENHEIRO CIVIL DE OBRA JUNIOR COM ENCARGOS COMPLEMENTARES,MES,"24,0000","21.264,65","510351,60",,,,,,,
,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0022,"ADMINISTRAÇÃO DA OBRA (ENGENHEIRO CIVIL, MESTRE, ALMOXARIFE E VIGIA), ENCARGOS = 115,02% e 71,66%",%,MOBRA,SINAPI,94295,MESTRE DE OBRAS COM ENCARGOS COMPLEMENTARES,MES,"24,0000","7.228,41","173481,84",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0022,"ADMINISTRAÇÃO DA OBRA (ENGENHEIRO CIVIL, MESTRE, ALMOXARIFE E VIGIA), ENCARGOS = 115,02% e 71,66%",%,MOBRA,SINAPI,93563,ALMOXARIFE COM ENCARGOS COMPLEMENTARES,MES,"24,0000","4.029,30","96703,20",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0022,"ADMINISTRAÇÃO DA OBRA (ENGENHEIRO CIVIL, MESTRE, ALMOXARIFE E VIGIA), ENCARGOS = 115,02% e 71,66%",%,MOBRA,SINAPI,101460,VIGIA DIURNO COM ENCARGOS COMPLEMENTARES,MES,"24,0000","4.242,66","101823,84",,,,,,,
HEAD2,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0027,MOBILIZAÇÃO DE PERFURATRIZ DE ALGUMA CAPITAL DO NORDESTE,KM,,,,,,,,,0,"0,00","4,96",0,0,"4,96",Elaborada com base na composição C4992 Seinfra - Atualizado em 10/07/2024
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0027,MOBILIZAÇÃO DE PERFURATRIZ DE ALGUMA CAPITAL DO NORDESTE,KM,INSUMO,SEINFRA,I0716,CAVALO MECÂNICO C/PRANC. 3 EIXOS (CHP),H,"0,0125","397,4473028","4,96",,,,,,,Atualizada pela tabela seinfra 028.1 e seinfra 05/2024
HEAD2,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0028,DESMOBILIZAÇÃO DE PERFURATRIZ DE ALGUMA CAPITAL DO NORDESTE,KM,,,,,,,,,0,"0,00","4,96",0,0,"4,96",Elaborada com base na composição C0371 Seinfra - Atualizado em 10/07/2024
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0028,DESMOBILIZAÇÃO DE PERFURATRIZ DE ALGUMA CAPITAL DO NORDESTE,KM,INSUMO,SEINFRA,I0716,CAVALO MECÂNICO C/PRANC. 3 EIXOS (CHP),H,"0,0125","397,4473028","4,96",,,,,,,Atualizada pela tabela seinfra 028.1 e seinfra 05/2024
HEAD2,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0029,CONTROLE TECNOLÓGICO DE CONCRETO C/ ROMPIMENTO DE CORPO DE PROVA À COMPRESSÃO,UN ,,,,,,,,,0,"75,18","39,38",0,0,"114,56",Elaborada com base na composição C0371 Seinfra - Atualizado em 10/07/2024
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0029,CONTROLE TECNOLÓGICO DE CONCRETO C/ ROMPIMENTO DE CORPO DE PROVA À COMPRESSÃO,UN ,MOBRA,SINAPI,88249,AUXILIAR DE LABORATÓRIO COM ENCARGOS COMPLEMENTARES,H,"1,3600","30,65","41,68",,,,,,,Atualizada pela tabela seinfra 028.1 e seinfra 05/2024
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0029,CONTROLE TECNOLÓGICO DE CONCRETO C/ ROMPIMENTO DE CORPO DE PROVA À COMPRESSÃO,UN ,MOBRA,SINAPI,88321,TÉCNICO DE LABORATÓRIO COM ENCARGOS COMPLEMENTARES,H,"1,0000","33,50","33,50",,,,,,,Atualizada pela tabela seinfra 028.1 e seinfra 05/2024
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0029,CONTROLE TECNOLÓGICO DE CONCRETO C/ ROMPIMENTO DE CORPO DE PROVA À COMPRESSÃO,UN ,INSUMO,SEINFRA,I9071,RESISTÊNCIA À COMPRESSÃO CORPO-DE-PROVA CILÍNDRICO DE CONCRETO E ARGAMASSA,UN,"1,0000","39,38","39,38",,,,,,,Atualizada pela tabela seinfra 028.1 e seinfra 05/2024
HEAD2,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0033,ALVARÁ DE CONSTRUÇÃO,UN ,,,,,,,,,0,"0,00",1,0,0,"1764,59",
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0033,ALVARÁ DE CONSTRUÇÃO,UN ,INSUMO,PREF. CRATO,0,TAXA DE ALVARÁ DE CONSTRUÇÃO,UN,"1,0000",1,"1,00",,,,,,,
HEAD2,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0030,PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO,M2,,,,,,,,,0,"72,72","453,05",0,"4,24","530,01",Elaborada com base na composição C0371 Seinfra - Atualizado em 10/07/2024
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0030,PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO,M2,MOBRA,SINAPI,88262,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,H,"1,0000","28,52","28,52",,,,,,,Atualizada pela tabela seinfra 028.1 e seinfra 05/2024
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0030,PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO,M2,MOBRA,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"2,0000","22,10","44,20",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0030,PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO,M2,SERV,SINAPI,94962,"CONCRETO MAGRO PARA LASTRO, TRAÇO 1:4,5:4,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",M3,"0,0100","424,58","4,24",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0030,PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO,M2,INSUMO,SINAPI,4417,"SARRAFO NAO APARELHADO *2,5 X 7* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM, PEROBA-ROSA OU EQUIVALENTE DA REGIAO - BRUTA                                                                                                                                                                                                                                                                                                                                                                                   ",M,"1,0000","7,34","7,34",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0030,PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO,M2,INSUMO,SINAPI,4491,"PONTALETE *7,5 X 7,5* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA                                                                                                                                                                                                                                                                                                                                                                                                                                 ",M,"4,0000","11,05","44,20",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0030,PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO,M2,INSUMO,SINAPI,4813,"PLACA DE OBRA (PARA CONSTRUCAO CIVIL) EM CHAPA GALVANIZADA *N. 22*, ADESIVADA, DE *2,4 X 1,2* M (SEM POSTES PARA FIXACAO)                                                                                                                                                                                                                                                                                                                                                                                 ",M2,"1,0000","400,00","400,00",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0030,PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO,M2,INSUMO,SINAPI,5075,PREGO DE ACO POLIDO COM CABECA 18 X 30 (2 3/4 X 10)                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,KG,"0,1100","13,77","1,51",,,,,,,
HEAD2,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0031,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO,M2,,,,,,,,,0,"0,19",0,0,"0,07","0,26",Composição com base no Item SEINFRA C2873
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0031,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO,M2,MOBRA,SINAPI,90781,TOPOGRAFO COM ENCARGOS COMPLEMENTARES,H,"0,0020","40,60","0,08",,,,,,,
,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0031,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO,M2,MOBRA,SINAPI,88288,NIVELADOR COM ENCARGOS COMPLEMENTARES,H,"0,0020","17,39","0,03",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0031,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO,M2,MOBRA,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0040","22,10","0,08",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0031,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO,M2,INSUMO,SINAPI,7247,"LOCACAO DE TEODOLITO ELETRONICO, PRECISAO ANGULAR DE 5 A 7 SEGUNDOS, INCLUINDO TRIPE                                                                                                                                                                                                                                                                                                                                                                                                                      ",H,"0,0020","2,34","0,00",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0031,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO,M2,INSUMO,SINAPI,7252,"LOCACAO DE NIVEL OPTICO, COM PRECISAO DE 0,7 MM, AUMENTO DE 32X                                                                                                                                                                                                                                                                                                                                                                                                                                           ",H,"0,0020","2,34","0,00",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0031,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO,M2,SERV,SINAPI,92145,"CAMINHONETE CABINE SIMPLES COM MOTOR 1.6 FLEX, CÂMBIO MANUAL, POTÊNCIA 101/104 CV, 2 PORTAS - CHP DIURNO. AF_11/2015",CHP,"0,0010","77,02","0,07",,,,,,,
HEAD2,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0037,REMOÇÃO DE CERCAS,M2,,,,,,,,,0,"0,55",0,0,0,"0,55",Composição com base no Item SEINFRA C2873
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0037,REMOÇÃO DE CERCAS,M2,MOBRA,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0250","22,10","0,55",,,,,,,
