chave_estavel,codigo,codigo_original,descricao,ordem,tipo,folha_mensuravel
f9e08691-9066-53e8-b254-f9423838e9f4,,,SERVIÇOS PRELIMINARES/TÉCNICOS,1,grupo,False
57bd3935-2115-5f8d-99b3-31acea266f75,,,ART OBRA (EXECUÇÃO),2,item,False
facf1d78-696a-5ef4-85f5-2f6d364fed8a,,,ART DA FISCALIZAÇÃO,3,item,False
3868ae51-bb3f-53ca-b298-fff2746b22d6,,,RRT DA FISCALIZAÇÃO,4,item,False
2b226ee1-ed50-5220-bbf0-a6a298f14bc4,UFCA:B0033,B0033,ALVARÁ DE CONSTRUÇÃO,5,item,True
ee1d20f5-44c5-53dd-a58f-17951531111c,UFCA:B0022,B0022,"ADMINISTRAÇÃO DA OBRA (ENGENHEIRO CIVIL, MESTRE, ALMOXARIFE E VIGIA), ENCARGOS = 115,02% e 71,66%",6,item,True
0d9803cc-61a8-5e1a-91de-0e9cc5b68352,UFCA:B0016,B0016,SONDAGEM À PERCUSSÃO P/RECONHECIMENTO DO SUBSOLO,7,item,True
bc0d8e4d-d20d-5bff-aa68-3499fc001b20,UFCA:B0049,B0049,RELATÓRIO FINAL DE SONDAGEM DO SOLO,8,item,True
dfbd3806-034a-5585-8e26-b9ec4a1ce81e,UFCA:B0045,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",9,item,True
bc81773b-07e4-5a80-845f-2a97b6f04284,UFCA:B0046,B0046,"EXECUÇÃO DE ALMOXARIFADO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 66M2",10,item,True
17c43b56-25a4-5ab7-b882-5b9929ff6efb,UFCA:B0047,B0047,EXECUÇÃO DE REFEITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA,11,item,True
fd55c43c-e875-5335-a167-cce98ccb31f1,UFCA:B0048,B0048,EXECUÇÃO DE SANITÁRIO E VESTIÁRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA,12,item,True
420b8afd-5d4b-50cf-b63e-198b18b95289,UFCA:B0030,B0030,PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO,13,item,True
59d8b36f-ffd9-50eb-bdbc-3ebb916d58c5,UFCA:B0031,B0031,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO,14,item,True
09f217e4-296f-56c9-a29d-c2df010c4f8e,SINAPI:99059,99059,"LOCAÇÃO CONVENCIONAL DE OBRA, UTILIZANDO GABARITO DE TÁBUAS CORRIDAS PONTALETADAS A CADA 2,00M - 2 UTILIZAÇÕES. AF_03/2024",15,item,True
e4319c53-4fb3-5d5a-af53-96b3de052a7c,SINAPI:99059,99059,"LOCAÇÃO CONVENCIONAL DE OBRA, UTILIZANDO GABARITO DE TÁBUAS CORRIDAS PONTALETADAS A CADA 2,00M - 2 UTILIZAÇÕES. AF_03/2024",16,item,True
88b311fd-e23b-5727-9cd5-a9e0e7a080ad,SINAPI:99060,99060,"LOCAÇÃO COM CAVALETE COM ALTURA DE 1,00 M - 2 UTILIZAÇÕES. AF_03/2024",17,item,True
7772f834-c2fe-52c7-9e8f-6a8a4057c32a,SINAPI:99061,99061,"LOCAÇÃO COM CAVALETE COM ALTURA DE 0,50 M - 2 UTILIZAÇÕES. AF_03/2024",18,item,True
eda63199-f6a8-5182-8920-515284710929,SINAPI:98525,98525,"LIMPEZA MECANIZADA DE CAMADA VEGETAL, VEGETAÇÃO E PEQUENAS ÁRVORES (DIÂMETRO DE TRONCO MENOR QUE 0,20 M), COM TRATOR DE ESTEIRAS. AF_03/2024",19,item,True
07ab67d4-ac7f-5bf8-af41-66cc73035a04,SINAPI:98524,98524,LIMPEZA MANUAL DE VEGETAÇÃO EM TERRENO COM ENXADA. AF_03/2024,20,item,True
ecfbb138-6681-508a-b9b1-a8608eb05d9f,SINAPI:100981,100981,"CARGA, MANOBRA E DESCARGA DE ENTULHO EM CAMINHÃO BASCULANTE 6 M³ - CARGA COM ESCAVADEIRA HIDRÁULICA (CAÇAMBA DE 0,80 M³ / 111 HP) E DESCARGA LIVRE (UNIDADE: M3). AF_07/2020",21,item,True
902e753d-a95c-50ea-a212-641e5dfd73b3,UFCA:B0037,B0037,REMOÇÃO DE CERCAS,22,item,True
6c22659c-c6f9-58f2-829c-67e0b567a146,SINAPI:95967,95967,SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA ACOMPANHAMENTO DE EXECUÇÃO DE FUNDAÇÕES PROFUNDAS E ESTRUTURAS DE CONTENÇÃO,23,item,True
590b60bd-10cc-5bcc-8ff8-94ab6e7108ce,,,MOVIMENTO DE TERRA,24,grupo,False
6fbe472a-37da-5caa-89a5-0f806bea2500,SINAPI:101136,101136,"ESCAVAÇÃO HORIZONTAL, INCLUINDO CARGA, DESCARGA E TRANSPORTE EM SOLO DE 1A CATEGORIA COM TRATOR DE ESTEIRAS (170HP/LÂMINA: 5,20M3) E CAMINHÃO BASCULANTE DE 10M3, DMT ATÉ 200M. AF_07/2020",25,item,True
